Simulation started: Task time range = 10 to 20 clock cycles
Starting queue size: 1000
Tick: 1, Requests in queue: 991
Tick: 2, Requests in queue: 992
Tick: 3, Requests in queue: 992
Tick: 4, Requests in queue: 993
Tick: 5, Requests in queue: 994
Tick: 6, Requests in queue: 995
Tick: 7, Requests in queue: 996
Tick: 8, Requests in queue: 997
Tick: 9, Requests in queue: 997
Tick: 10, Requests in queue: 997
Tick: 11, Requests in queue: 997
Tick: 12, Requests in queue: 997
Tick: 13, Requests in queue: 998
Tick: 14, Requests in queue: 995
Tick: 15, Requests in queue: 996
Tick: 16, Requests in queue: 996
Tick: 17, Requests in queue: 995
Tick: 18, Requests in queue: 996
Tick: 19, Requests in queue: 995
Tick: 20, Requests in queue: 993
Tick: 21, Requests in queue: 994
Tick: 22, Requests in queue: 994
Tick: 23, Requests in queue: 995
Tick: 24, Requests in queue: 996
Tick: 25, Requests in queue: 995
Tick: 26, Requests in queue: 996
Tick: 27, Requests in queue: 997
Tick: 28, Requests in queue: 997
Tick: 29, Requests in queue: 998
Tick: 30, Requests in queue: 999
Tick: 31, Requests in queue: 998
Tick: 32, Requests in queue: 997
Tick: 33, Requests in queue: 994
Tick: 34, Requests in queue: 994
Tick: 35, Requests in queue: 995
Tick: 36, Requests in queue: 995
Tick: 37, Requests in queue: 996
Tick: 38, Requests in queue: 997
Tick: 39, Requests in queue: 997
Tick: 40, Requests in queue: 997
Tick: 41, Requests in queue: 997
Tick: 42, Requests in queue: 998
Tick: 43, Requests in queue: 997
Tick: 44, Requests in queue: 997
Tick: 45, Requests in queue: 997
Tick: 46, Requests in queue: 997
Tick: 47, Requests in queue: 998
Tick: 48, Requests in queue: 999
Tick: 49, Requests in queue: 1000
Tick: 50, Requests in queue: 998
Tick: 51, Requests in queue: 997
Tick: 52, Requests in queue: 997
Tick: 53, Requests in queue: 997
Tick: 54, Requests in queue: 997
Tick: 55, Requests in queue: 997
Tick: 56, Requests in queue: 998
Tick: 57, Requests in queue: 998
Tick: 58, Requests in queue: 998
Tick: 59, Requests in queue: 998
Tick: 60, Requests in queue: 998
Tick: 61, Requests in queue: 998
Tick: 62, Requests in queue: 997
Tick: 63, Requests in queue: 997
Tick: 64, Requests in queue: 998
Tick: 65, Requests in queue: 999
Tick: 66, Requests in queue: 998
Tick: 67, Requests in queue: 999
Tick: 68, Requests in queue: 1000
Tick: 69, Requests in queue: 998
Tick: 70, Requests in queue: 999
Tick: 71, Requests in queue: 998
Tick: 72, Requests in queue: 998
Tick: 73, Requests in queue: 999
Tick: 74, Requests in queue: 1000
Tick: 75, Requests in queue: 1000
Tick: 76, Requests in queue: 999
Tick: 77, Requests in queue: 999
Tick: 78, Requests in queue: 1000
Tick: 79, Requests in queue: 1001
Tick: 80, Requests in queue: 1002
Tick: 81, Requests in queue: 1000
Tick: 82, Requests in queue: 1001
Tick: 83, Requests in queue: 1002
Tick: 84, Requests in queue: 1002
Tick: 85, Requests in queue: 1001
Tick: 86, Requests in queue: 1001
Tick: 87, Requests in queue: 1002
